ticker,company,sector,industry,first_seen,n_snapshots
DAN,Dana Incorporated,Consumer Discretionary,Auto Parts & Equipment,2023-06,3
DBD,"Diebold Nixdorf, Incorporated",Information Technology,"Technology Hardware, Storage & Peripherals",2021-06,2
DBI,"Designer Brands, Inc.",Consumer Discretionary,Apparel Retail,2021-06,4
DCOM,"Dime Community Bancshares, Inc.",Financials,Thrifts & Mortgage Finance,2021-06,5
DDD,3D Systems Corporation,Information Technology,"Technology Hardware, Storage & Peripherals",2021-06,4
DEA,"Easterly Government Properties, Inc.",Real Estate,Office REITs,2021-06,5
DEI,Douglas Emmett,Real Estate,Office REITs,2023-06,3
DFH,"Dream Finders Homes, Inc.",Consumer Discretionary,Homebuilding,2025-06,1
DFIN,"Donnelley Financial Solutions, Inc.",Financials,Financial Exchanges & Data,2021-06,5
DGII,Digi International Inc.,Information Technology,Communications Equipment,2021-06,5
DHC,Diversified Healthcare Trust,Real Estate,Health Care REITs,2021-06,2
DIN,"Dine Brands Global, Inc.",Consumer Discretionary,Restaurants,2021-06,4
DIOD,Diodes Incorporated,Information Technology,Semiconductors,2021-06,5
DISH,Dish Network,Communication Services,Cable & Satellite,2023-06,1
DLX,Deluxe Corporation,Industrials,Commercial Printing,2021-06,5
DNOW,NOW Inc,Industrials,Trading Companies & Distributors,2021-06,5
DOCN,"DigitalOcean Holdings, Inc.",Information Technology,Internet Services & Infrastructure,2024-06,2
DORM,"Dorman Products, Inc.",Consumer Discretionary,Auto Parts & Equipment,2021-06,5
DOUG,"Douglas Elliman, Inc.",Real Estate,Real Estate Services,2022-06,1
DRH,DiamondRock Hospitality Company,Real Estate,Hotel & Resort REITs,2021-06,5
DRQ,Dril-Quip Inc.,Energy,Oil & Gas Equipment & Services,2021-06,5
DSPG,"DSP Group, Inc.",Information Technology,Semiconductors,2021-06,1
DV,"DoubleVerify Holdings, Inc.",Information Technology,Application Software,2023-06,3
DVAX,Dynavax Technologies Corp.,Health Care,Biotechnology,2022-06,4
