ticker,company,sector,industry,float_shares,float_source
COCO,The Vita Coco Company,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,48401237.0,floatShares
COHU,"Cohu, Inc.",Information Technology,Semiconductor Materials & Equipment,45748335.0,floatShares
COLL,"Collegium Pharmaceutical, Inc.",Health Care,Pharmaceuticals,30567767.0,floatShares
CON,"Concentra Group Holdings Parent, Inc.",Health Care,Health Care Services,113457630.0,floatShares
CORT,Corcept Therapeutics Incorporated,Health Care,Pharmaceuticals,89734641.0,floatShares
COTY,Coty,Consumer Staples,Personal Care Products,352204185.0,floatShares
CPB,The Campbell's Company,Consumer Staples,Packaged Foods & Meats,188230763.0,floatShares
CPF,Central Pacific Financial Corp.,Financials,Regional Banks,22445581.0,floatShares
CPK,Chesapeake Utilities Corp.,Utilities,Gas Utilities,23502106.0,floatShares
CRC,California Resources Corporation,Energy,Oil & Gas Exploration & Production,75887717.0,floatShares
CRGY,Crescent Energy Company,Energy,Oil & Gas Exploration & Production,294763049.0,floatShares
CRI,"Carter's, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",33431041.0,floatShares
CRK,"Comstock Resources, Inc.",Energy,Oil & Gas Exploration & Production,61774827.0,floatShares
CRSR,Corsair Gaming,Information Technology,"Technology Hardware, Storage & Peripherals",47280903.0,floatShares
CRVL,CorVel Corporation,Health Care,Health Care Services,30165465.0,floatShares
CSR,Centerspace Trust,Real Estate,Multi-Family Residential REITs,15247746.0,floatShares
CSW,"CSW Industrials, Inc.",Industrials,Industrial Conglomerates,15972831.0,floatShares
CTS,CTS Corporation,Information Technology,Electronic Manufacturing Services,27465063.0,floatShares
CUBI,"Customers Bancorp, Inc.",Financials,Regional Banks,31530420.0,floatShares
CURB,Curbline Properties Corp.,Real Estate,Retail REITs,103186808.0,floatShares
CVBF,CVB Financial Corp.,Financials,Regional Banks,166317576.0,floatShares
CVCO,"Cavco Industries, Inc.",Consumer Discretionary,Homebuilding,7496782.0,floatShares
CVI,"CVR Energy, Inc.",Energy,Oil & Gas Refining & Marketing,28751751.0,floatShares
CVSA,Covista Inc.,Consumer Discretionary,Education Services,32841675.0,floatShares
CWEN,"Clearway Energy, Inc. (Class C)",Utilities,Renewable Electricity,117296150.0,floatShares
CWEN-A,"Clearway Energy, Inc. (Class A)",Utilities,Renewable Electricity,117296150,floatShares(base:CWEN)
CWK,Cushman & Wakefield plc,Real Estate,Real Estate Services,223644610.0,floatShares
CWST,"Casella Waste Systems, Inc.",Industrials,Environmental & Facilities Services,60873613.0,floatShares
CWT,California Water Service Group,Utilities,Water Utilities,59988257.0,floatShares
CXM,"Sprinklr, Inc.",Information Technology,Application Software,108583769.0,floatShares
CXW,CoreCivic,Industrials,Diversified Support Services,95014886.0,floatShares
CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming,191101932.0,floatShares
DAN,Dana Incorporated,Consumer Discretionary,Automotive Parts & Equipment,103570523.0,floatShares
DAVE,"Dave, Inc.",Financials,Consumer Finance,9338944.0,floatShares
DBD,Diebold Nixdorf,Information Technology,Electronic Equipment & Instruments,29315594.0,floatShares
DCH,Dauch Corporation,Consumer Discretionary,Automotive Parts & Equipment,228820360.0,floatShares
DCOM,"Dime Community Bancshares, Inc.",Financials,Regional Banks,42110820.0,floatShares
DEA,"Easterly Government Properties, Inc.",Real Estate,Office REITs,44040407.0,floatShares
DEI,Douglas Emmett,Real Estate,Office REITs,157503145.0,floatShares
DFH,"Dream Finders Homes, Inc.",Consumer Discretionary,Homebuilding,26546714.0,floatShares
DFIN,"Donnelley Financial Solutions, Inc.",Financials,Financial Exchanges & Data,21984741.0,floatShares
DGII,Digi International Inc.,Information Technology,Communications Equipment,36530761.0,floatShares
DIOD,Diodes Incorporated,Information Technology,Semiconductors,44622260.0,floatShares
DLX,Deluxe Corporation,Industrials,Commercial Printing,43809265.0,floatShares
DMC,Del Monte Corporation,Consumer Staples,Packaged Foods & Meats,41463684.0,floatShares
DNOW,NOW Inc,Industrials,Trading Companies & Distributors,173814787.0,floatShares
DORM,"Dorman Products, Inc.",Consumer Discretionary,Automotive Parts & Equipment,25954889.0,floatShares
DRH,DiamondRock Hospitality Company,Real Estate,Hotel & Resort REITs,199781079.0,floatShares
DV,DoubleVerify Holdings Inc.,Communication Services,Advertising,121677074.0,floatShares
DXC,DXC Technology,Information Technology,IT Consulting & Other Services,137150831.0,floatShares
DXPE,"DXP Enterprises, Inc.",Industrials,Trading Companies & Distributors,12753699.0,floatShares
EAT,"Brinker International, Inc.",Consumer Discretionary,Restaurants,41792730.0,floatShares
EBC,"Eastern Bankshares, Inc.",Financials,Regional Banks,196634738.0,floatShares
ECG,"Everus Construction Group, Inc.",Industrials,Construction & Engineering,50078815.0,floatShares
ECPG,"Encore Capital Group, Inc.",Financials,Consumer Finance,20024823.0,floatShares
EFC,"Ellington Financial, Inc.",Financials,Specialized Finance,124582547.0,floatShares
EFOR,Everforth Inc.,Information Technology,IT Consulting & Other Services,36706070.0,floatShares
EGBN,Eagle Bancorp Inc,Financials,Regional Banks,24991980.0,floatShares
EIG,"Employers Holdings, Inc.",Financials,Property & Casualty Insurance,17442166.0,floatShares
EMN,Eastman Chemical Company,Materials,Specialty Chemicals,111482177.0,floatShares
ENOV,Enovis,Health Care,Health Care Equipment,55422114.0,floatShares
ENPH,Enphase Energy,Information Technology,Semiconductor Materials & Equipment,125747526.0,floatShares
ENR,Energizer,Consumer Staples,Household Products,58491874.0,floatShares
ENVA,"Enova International, Inc.",Financials,Consumer Finance,23514520.0,floatShares
EPAC,Enerpac Tool Group,Industrials,Industrial Machinery & Supplies & Components,49589709.0,floatShares
EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,48607317.0,floatShares
EPC,Edgewell Personal Care,Consumer Staples,Household Products,40884094.0,floatShares
EPRT,"Essential Properties Realty Trust, Inc.",Real Estate,Diversified REITs,210386053.0,floatShares
ESE,ESCO Technologies Inc.,Industrials,Industrial Machinery & Supplies & Components,25400556.0,floatShares
ESI,Element Solutions,Materials,Specialty Chemicals,226966407.0,floatShares
ETSY,Etsy,Consumer Discretionary,Broadline Retail,76214646.0,floatShares
EVTC,"EVERTEC, Inc.",Financials,Transaction & Payment Processing Services,58121298.0,floatShares
EXTR,"Extreme Networks, Inc.",Information Technology,Communications Equipment,126303273.0,floatShares
EYE,National Vision Holdings,Consumer Discretionary,Specialty Stores,76683925.0,floatShares
EZPW,"EZCORP, Inc.",Financials,Consumer Finance,53697210.0,floatShares
FA,First Advantage Corporation,Industrials,Human Resource & Employment Services,76727526.0,floatShares
FBK,FB Financial Corp.,Financials,Regional Banks,48570254.0,floatShares
FBNC,First Bancorp (Southern Pines NC),Financials,Regional Banks,40546737.0,floatShares
FBP,First BanCorp (Puerto Rico),Financials,Regional Banks,145664555.0,floatShares
FBRT,"Franklin BSP Realty Trust, Inc.",Real Estate,Mortgage REITs,81406930.0,floatShares
FCF,"First Commonwealth Financial, Corp.",Financials,Regional Banks,97023834.0,floatShares
FCPT,"Four Corners Property Trust, Inc.",Real Estate,Other Specialized REITs,70423989.0,floatShares
FELE,Franklin Electric,Industrials,Industrial Machinery & Supplies & Components,37288833.0,floatShares
FFBC,First Financial Bancorp,Financials,Regional Banks,103253748.0,floatShares
FG,"F&G Annuities & Life, Inc.",Financials,Life & Health Insurance,33004838.0,floatShares
FHB,"First Hawaiian, Inc.",Financials,Regional Banks,119253105.0,floatShares
FIBK,"First Interstate BancSystem, Inc.",Financials,Regional Banks,78576742.0,floatShares
FIVN,"Five9, Inc.",Information Technology,Application Software,64961649.0,floatShares
FIZZ,National Beverage Corp.,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,23428301.0,floatShares
FLO,Flowers Foods,Consumer Staples,Packaged Foods & Meats,191884710.0,floatShares
FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,111500725.0,floatShares
FORM,"FormFactor, Inc.",Information Technology,Semiconductor Materials & Equipment,75995841.0,floatShares
FOXF,Fox Factory,Consumer Discretionary,Automotive Parts & Equipment,41415247.0,floatShares
FRPT,Freshpet,Consumer Staples,Packaged Foods & Meats,44472942.0,floatShares
FSS,Federal Signal Corporation,Industrials,Construction Machinery & Heavy Transportation Equipment,57923606.0,floatShares
FTDR,"Frontdoor, Inc.",Consumer Discretionary,Specialized Consumer Services,67122758.0,floatShares
FTRE,Fortrea,Health Care,Biotechnology,93073419.0,floatShares
FUL,H.B. Fuller Company,Materials,Specialty Chemicals,53011797.0,floatShares
FULT,Fulton Financial Corporation,Financials,Regional Banks,187371189.0,floatShares
FUN,Six Flags,Consumer Discretionary,Leisure Facilities,83381655.0,floatShares
GBX,"The Greenbrier Companies, Inc.",Industrials,Construction Machinery & Heavy Transportation Equipment,29582981.0,floatShares
GEO,"GEO Group, Inc.",Industrials,Environmental & Facilities Services,112937180.0,floatShares
